STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
4513.0,Ramammana Kere,E,3.1,6.9,472.0,24.0,1.58,1400.0,7000.0,32.0,156.0,16.0,156.0,104.0,160.0,39.666666666666664,0.69,156.0,84.0,72.0,14.0,43.0,324.0,42.0,0.372,0.5,5.0,0.27,36.0,1.5,0.39,2025.0
4514.0,Sadaramangala Lake,D,6.2,7.9,754.0,4.0,2.9,310.0,2800.0,32.0,172.0,16.0,172.0,124.0,44.0,32.333333333333336,0.64,204.0,108.0,96.0,31.0,74.0,512.0,28.0,0.388,0.5,15.0,0.29,42.0,2.25,0.22,2025.0
4515.0,Bhattarahalli Lake,D,5.1,7.0,597.0,6.0,2.6,150.0,2100.0,32.0,141.0,16.0,141.0,103.0,64.0,25.0,0.4,160.0,82.0,78.0,25.0,58.0,406.0,14.0,0.404,0.5,12.0,0.33499999999999996,37.0,2.0,0.6,2025.0
4516.0,Kundalahalli Lake,D,5.3,7.4,753.0,7.0,2.9,310.0,4300.0,32.0,264.0,16.0,264.0,92.0,84.0,17.666666666666668,0.4,248.0,128.0,120.0,25.0,90.0,516.0,16.0,0.42,0.5,11.0,0.38,43.0,2.5,0.98,2025.0
4517.0,Kowdhenahalli Tank,D,5.9,7.3,348.0,5.0,1.2,320.0,3500.0,32.0,68.0,16.0,68.0,44.0,64.0,10.333333333333336,0.44,104.0,60.0,44.0,25.0,38.0,232.0,18.0,0.415,0.5,11.0,0.25,41.0,1.6,0.35,2025.0
4518.0,Garudacharpalya Tank,E,3.0,8.5,394.0,17.0,1.4,210.0,2100.0,32.0,112.0,16.0,128.0,76.0,128.0,3.0,2.3,104.0,52.0,52.0,31.5,41.0,272.0,118.0,0.41000000000000003,0.5,4.0,0.28,44.0,1.7,0.5,2025.0
4519.0,Rampura Lake,E,1.2,6.9,900.0,23.0,3.9,17.0,1600.0,32.25806451612903,212.0,16.129032258064516,212.0,155.0,136.0,2.5,1.9,244.0,124.0,120.0,38.0,89.0,612.0,30.0,0.405,0.5,18.0,0.33,40.0,2.5,0.35,2025.0
4520.0,Chinnappanahalli Lake,D,5.4,7.4,742.0,7.0,2.8,140.0,2400.0,32.516129032258064,264.0,16.258064516129032,264.0,96.0,80.0,3.3666666666666667,0.4,224.0,116.0,108.0,49.5,89.0,512.0,26.0,0.4,0.5,11.0,0.38,45.0,2.6,0.9,2025.0
4521.0,Devarabeesanahalli Lake,D,5.8,7.5,1716.0,6.0,6.6,260.0,4300.0,32.774193548387096,308.0,16.387096774193548,308.0,344.0,68.0,4.233333333333333,0.4,500.0,252.0,248.0,61.0,180.0,1186.0,22.0,3.2,0.5,19.0,0.28,43.0,3.5,7.5,2025.0
4522.0,Vibhuthipura Lake,E,2.3,7.4,1286.0,11.0,4.9,240.0,4300.0,33.03225806451613,296.0,16.516129032258064,296.0,216.0,120.0,5.1,4.6,348.0,180.0,168.0,53.0,118.0,872.0,18.0,0.48,0.5,26.0,0.46,40.0,2.75,1.4,2025.0
4523.0,Nallurahalli Lake,E,2.25,7.0,910.0,64.0,3.5,230.0,2200.0,33.29032258064516,344.0,16.64516129032258,344.0,124.0,228.0,36.0,28.0,248.0,128.0,120.0,7.0,100.0,628.0,14.0,0.9,0.5,11.0,0.4,45.0,2.8,2.1,2025.0
4524.0,Pattandur Agrahara Lake,E,2.2,7.5,1470.0,14.0,5.8,310.0,1700.0,33.54838709677419,340.0,16.774193548387096,340.0,248.0,136.0,5.3,4.8,400.0,208.0,192.0,60.0,136.0,978.0,16.0,0.51,0.5,30.0,0.51,40.0,2.95,1.48,2025.0
4525.0,Seetharampalya Lake,E,2.5,7.6,1257.0,13.0,4.8,250.0,2100.0,33.806451612903224,292.0,16.903225806451612,292.0,212.0,132.0,5.1,4.5,340.0,172.0,168.0,51.0,115.0,836.0,20.0,0.48,0.5,25.0,0.45,40.0,2.71,1.42,2025.0
4526.0,Devasandra Lake,E,2.6,7.0,455.0,23.0,2.0,230.0,4300.0,34.064516129032256,107.0,17.032258064516128,107.0,78.0,164.0,2.3,1.8,120.0,62.0,58.0,19.0,42.0,310.0,30.0,0.51,0.5,9.0,0.395,24.0,1.7,1.3599999999999999,2025.0
4527.0,Sheelavanta-Whitefield Lake,D,5.8,7.5,776.0,6.0,3.0,330.0,5400.0,34.32258064516129,292.0,17.161290322580644,292.0,96.0,68.0,3.4749999999999996,0.4,236.0,120.0,16.0,27.75,89.0,532.0,32.0,0.54,0.5,10.0,0.34,44.0,2.5,1.3,2025.0
4528.0,Doddakannehalli Lake,D,5.8,8.0,496.0,7.0,1.9,240.0,3500.0,34.58064516129032,116.0,17.29032258064516,116.0,120.0,76.0,4.65,0.4,100.0,52.0,48.0,36.5,52.0,340.0,34.0,0.9266666666666667,0.5,5.0,0.29,51.0,2.3,0.16,2025.0
