LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count
Kannuru kere,08/23,1,0.058703596884612554,0.07167410126907363,0.061324460525735675,0.07757122329563546,0.055017266127703,0.05935323736864886,0.05478345334744282,0.05391223037200008,0.05673021616802799,0.046710791481699016,0.004815419008978999,0.005632936540836183,0.00521842100336588,0.006340497177377329,0.005385778318389976,0.005734877640071429,0.005273069937376045,0.005723603238487786,0.004033397707753473,0.0036806843208497986,139
Kannuru kere,08/23,1,0.058703596884612554,0.07167410126907363,0.061324460525735675,0.07757122329563546,0.055017266127703,0.05935323736864886,0.05478345334744282,0.05391223037200008,0.05673021616802799,0.046710791481699016,0.004815419008978999,0.005632936540836183,0.00521842100336588,0.006340497177377329,0.005385778318389976,0.005734877640071429,0.005273069937376045,0.005723603238487786,0.004033397707753473,0.0036806843208497986,139
Doddagubbi kere,08/23,1,0.07748229169131567,0.10507604107260704,0.09016874948671709,0.11778645822778344,0.08432083328564961,0.09105312502166878,0.07917291651635121,0.07628541629916678,0.06103958348588397,0.047080208586218454,0.009525929313363659,0.016281992388373998,0.014687141929157998,0.019263608275442844,0.014587579341218503,0.014348097831643735,0.0124650632423621,0.014307296687958647,0.011435184525534934,0.00841098770349836,96
Suggata kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Yelahanka Lake,08/23,1,0.06065909302265619,0.08017449530629318,0.05749527448856157,0.07725514106364163,0.047762605708315725,0.05093402937771168,0.04503956670144353,0.04455706531961506,0.0443420871917491,0.0361807734581528,0.006165302875188621,0.007208021179323136,0.006360341874311708,0.007357381833690418,0.008541592592445808,0.009767065109724225,0.008230285113105846,0.010383660237951677,0.007150275223200595,0.00508777259143757,1899
Dodda Bommasandra Lake,08/23,1,0.051055652302676356,0.08240144928728325,0.05519739134588103,0.08111681177996206,0.050911014586471126,0.05686463768715444,0.049063188458482426,0.04720724638065566,0.04207130434072536,0.033191304524307665,0.00984040076405547,0.017163546668095032,0.011922635586906266,0.018347085381898155,0.012522008226936198,0.01255599943357453,0.009639778988526684,0.012724445391704971,0.007896678179689573,0.004557730989051318,345
Singapura lake,08/23,1,0.09678571351936885,0.17221428453922272,0.191771428499903,0.209099999495915,0.13614285843712942,0.14577142894268036,0.12364285758563451,0.11274285720927375,0.0939714280622346,0.06864285894802638,0.0011344330216138028,0.0011192218087542206,0.0016824397357122847,0.0015528752866653974,0.006941357561736699,0.010355221452163872,0.00661143178740977,0.01192798176482776,0.01691395997258258,0.011084849613909582,7
Chellaghatta kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Bellandur Amanikere,08/23,1,0.06148577857104515,0.06736938634463502,0.054689221572086305,0.07606878746189401,0.053187200661559034,0.05496025462160835,0.049747979117858554,0.04591691618210854,0.044877021024170925,0.037391841399042815,0.007439416513724441,0.007891502206441404,0.006858889100536548,0.008406680746373085,0.00697186126081783,0.0074709377324126336,0.006704721369323857,0.007323284157654381,0.005281608896351811,0.005322869066087566,1336
Abbigere Kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kammagondanahalli lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Mallasandra Lake-2,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Chikkabanavara kere,08/23,1,0.043187951556889405,0.05949879509497838,0.03561445810349591,0.07898554161011455,0.05591445793229413,0.05850602408130485,0.04751927742218397,0.039672289088547946,0.03766747007527983,0.030302409553922802,0.0018024345912848805,0.0018453127776092428,0.00228067491030997,0.002084141375856664,0.0025101305349131174,0.0022600965797978647,0.0016334203032137501,0.002604459473097205,0.002785552706076669,0.0020352302873182944,83
Mallasandra Gudde lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Bagalagunte Govt.Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Lalbagh kere,08/23,1,0.04228955223711569,0.06494029867115306,0.04074626866338858,0.07355820882453848,0.04710298515300253,0.051722387991734405,0.04688507457500073,0.045253731393769606,0.04606119409870746,0.03665970151882563,0.006672154891217355,0.007309859446435469,0.007020743876685431,0.008027083343372947,0.009031833923123676,0.009809009042649372,0.007471722679327148,0.008707850710272877,0.006961127848421258,0.006532354991605306,67
Chikkabellanduru kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Carmelarm,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Gunjuruplaya kere,08/23,1,0.07578928502542633,0.10832857127700533,0.10181071422994137,0.11908928517784391,0.08533928649766105,0.09300357183175427,0.08256428582327706,0.08001428603061608,0.07280714357537883,0.05404285740639482,0.004735529825618071,0.00494092703058521,0.005800944700564614,0.005929366115545614,0.006228295677966224,0.006457413975397998,0.005595100187611179,0.006162427408187936,0.007106532582857213,0.005510213252729619,28
Govt. Dinnekere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Panattur Govt.kere,08/23,1,0.07936060063883246,0.11263257795677074,0.08204240321126256,0.09274976940833232,0.06647173401892942,0.07459841497927075,0.06509442369619027,0.06789140134798344,0.07395204723295344,0.05795681482521354,0.00641950471717081,0.00758331624796975,0.008680478751910133,0.01321168055480133,0.016000471427269774,0.017867195125254334,0.010592810696399464,0.017949104590110593,0.017739809930806424,0.01374990606658908,62
Gramadakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Ambalipura Kelagina kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Melinakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Sowl kere,08/23,1,0.07059629661617456,0.08616666633773733,0.06878518547724795,0.09690370327896541,0.0787074078840238,0.0857814809790364,0.06487777801575484,0.07812592621754717,0.06320370361208916,0.058774074332581625,0.005025304834210343,0.010905859605783533,0.009818338843838563,0.015724019471898946,0.017328160470987133,0.01932036030567486,0.007806565775614115,0.02146369159883964,0.013715670154362048,0.016952102515319263,27
Bhoganahalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Devarabisanahalli kere,08/23,1,0.09113612276670437,0.12075969288383573,0.08430789469899888,0.100568767722628,0.09742398526240743,0.09214466667098022,0.0807390668652798,0.1008071305870167,0.08125409353074425,0.058609899317842405,0.017477649324172555,0.024477069379238374,0.011747756191268834,0.0034731032665207134,0.023469050567605808,0.021401046230839247,0.013866594680854188,0.028236649567932738,0.011447877141329893,0.00609536478087358,7
Doddakanneli Gramadakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Lakedew Appartment lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kaikondanahalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
